YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max,Date,Year,Year_Group
2000,1,1,28.34,29.24,29.05,-0.3306,0.0000,3.2971,1,2000-01-01,2000,2000-2001
2000,1,2,28.36,29.49,29.32,-0.0745,0.0000,3.2971,1,2000-01-02,2000,2000-2001
2000,1,3,29.06,30.04,29.89,0.359,0.2700,3.2971,1,2000-01-03,2000,2000-2001
2000,1,4,29.26,30.13,29.88,0.3645,0.2900,3.2971,1,2000-01-04,2000,2000-2001
2000,1,5,29.37,30.18,29.97,0.4142,0.3400,3.2971,1,2000-01-05,2000,2000-2001
2000,1,6,29.73,30.42,30.22,0.691,0.6300,3.2971,1,2000-01-06,2000,2000-2001
2000,1,7,29.73,30.54,30.36,0.8594,0.8000,3.2971,1,2000-01-07,2000,2000-2001
2000,1,8,29.58,30.34,30.11,0.6197,0.5700,3.2971,1,2000-01-08,2000,2000-2001
2000,1,9,28.97,29.96,29.64,0.5516,0.2100,3.2971,1,2000-01-09,2000,2000-2001
2000,1,10,29.06,30.09,29.93,0.5706,0.3000,3.2971,1,2000-01-10,2000,2000-2001
2000,1,11,29.03,30.05,29.78,0.3532,0.1600,3.2971,1,2000-01-11,2000,2000-2001
2000,1,12,28.35,29.87,29.39,-0.1042,0.0000,3.2971,1,2000-01-12,2000,2000-2001
2000,1,13,28.55,29.84,29.52,0.0026,0.0000,3.2971,1,2000-01-13,2000,2000-2001
2000,1,14,28.66,29.79,29.31,-0.1565,0.0000,3.2971,1,2000-01-14,2000,2000-2001
2000,1,15,28.79,29.89,29.35,-0.13,0.0000,3.2971,1,2000-01-15,2000,2000-2001
2000,1,16,28.71,29.79,29.41,-0.1213,0.0000,3.2971,1,2000-01-16,2000,2000-2001
2000,1,17,28.62,29.78,29.39,-0.1239,0.0000,3.2971,1,2000-01-17,2000,2000-2001
2000,1,18,28.93,29.71,29.35,0.1064,0.0000,3.2971,0,2000-01-18,2000,2000-2001
2000,1,19,28.69,29.5,29.26,-0.3329,0.0000,3.2971,0,2000-01-19,2000,2000-2001
2000,1,20,28.64,29.47,29.05,-0.1474,0.0000,3.2971,0,2000-01-20,2000,2000-2001
2000,1,21,28.56,29.47,29.1,-0.0787,0.0000,3.1443,0,2000-01-21,2000,2000-2001
2000,1,22,27.99,29.69,29.55,0.0119,0.0000,3.1443,0,2000-01-22,2000,2000-2001
2000,1,23,27.94,29.85,29.72,0.1806,0.1400,3.1443,1,2000-01-23,2000,2000-2001
2000,1,24,28.0,29.9,29.78,0.2703,0.2100,3.1443,1,2000-01-24,2000,2000-2001
2000,1,25,28.27,29.35,28.98,-0.0842,0.0000,3.1443,1,2000-01-25,2000,2000-2001
2000,1,26,28.43,29.31,29.19,-0.1813,0.0000,3.1443,1,2000-01-26,2000,2000-2001
2000,1,27,28.57,29.34,28.95,-0.1858,0.0000,3.1443,1,2000-01-27,2000,2000-2001
2000,1,28,28.55,29.34,29.2,-0.1161,0.0000,3.1443,1,2000-01-28,2000,2000-2001
2000,1,29,28.63,29.37,29.0,-0.0884,0.0000,3.1443,1,2000-01-29,2000,2000-2001
